store_name,product_title,product_page_url,image_url,unit_amount,unit,normal_price,sale_price,food_group,age_group,brand
"Pets place,Sam's Field Light & Senior Lam&Rijst ,https://www.petsplace.nl/sams-field-light-senior-hondenvoer-m-8594031444350-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/2/2/7771_223008_1.webp,2.5,kg,""19,99"",""19,99"",Droogvoer,Sam's Field,Senior"
"Pets place,Sam's Field Light & Senior Lam&Rijst ,https://www.petsplace.nl/sams-field-light-senior-hondenvoer-m-8594031444350-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/2/2/3603_223017_1.webp,13,kg,""63,95"",""63,95"",Droogvoer,Sam's Field,Senior"
"Pets place,Wellness Core Grain Free Dog Senior Original Kalkoen&Kip ,https://www.petsplace.nl/wellness-core-grain-free-dog-senior-original-hondenvoer-m-076344107484-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/3/3/5686_338921_1.webp,1.8,kg,""15,74"",""17,49"",Droogvoer,Wellness Core,Senior"
"Pets place,Wellness Core Grain Free Dog Senior Original Kalkoen&Kip ,https://www.petsplace.nl/wellness-core-grain-free-dog-senior-original-hondenvoer-m-076344107484-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/1/0/3004_10054698_1.webp,10,kg,""59,95"",""59,95"",Droogvoer,Wellness Core,Senior"
"Pets place,Eukanuba Mature Senior Lam&Rijst ,https://www.petsplace.nl/eukanuba-mature-senior-hondenvoer-m-8710255121420-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/2/0/7299_204058_1.webp,2.5,kg,""18,69"",""18,69"",Droogvoer,Eukanuba,Senior"
"Pets place,Eukanuba Mature Senior Lam&Rijst ,https://www.petsplace.nl/eukanuba-mature-senior-hondenvoer-m-8710255121420-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/2/0/4187_204057_1.webp,12,kg,""49,99"",""49,99"",Droogvoer,Eukanuba,Senior"
"Pets place,Eukanuba Thriving Mature Medium Breed Kip ,https://www.petsplace.nl/eukanuba-thriving-mature-medium-breed-hondenvoer-m-8710255120980-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/3/0/5956_300655_1.webp,3,kg,""18,69"",""18,69"",Droogvoer,Eukanuba,Senior"
"Pets place,Eukanuba Thriving Mature Medium Breed Kip ,https://www.petsplace.nl/eukanuba-thriving-mature-medium-breed-hondenvoer-m-8710255120980-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/3/4/2053_340308_1.webp,12,kg,""49,99"",""49,99"",Droogvoer,Eukanuba,Senior"
"Pets place,Edgard&Cooper Plantbased Adult Wortel&Courgette ,https://www.petsplace.nl/edgard-cooper-plantbased-adult-hondenvoer-m-5407007149094-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/3/0/8596_30014020_1.webp,1,kg,""9,89"",""10,99"",Droogvoer,Edgard&Cooper,Volwassen"
"Pets place,Edgard&Cooper Plantbased Adult Wortel&Courgette ,https://www.petsplace.nl/edgard-cooper-plantbased-adult-hondenvoer-m-5407007149094-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/3/0/7151_30014019_1.webp,2.5,kg,""24,29"",""26,99"",Droogvoer,Edgard&Cooper,Volwassen"
"Pets place,Edgard&Cooper Plantbased Adult Wortel&Courgette ,https://www.petsplace.nl/edgard-cooper-plantbased-adult-hondenvoer-m-5407007149094-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/3/0/5708_30014022_1.webp,7,kg,""53,99"",""59,99"",Droogvoer,Edgard&Cooper,Volwassen"
"Pets place,Edgard&Cooper Plantbased Adult Wortel&Courgette ,https://www.petsplace.nl/edgard-cooper-plantbased-adult-hondenvoer-m-5407007149094-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/3/0/4307_30014026_1.webp,12,kg,""83,99"",""83,99"",Droogvoer,Edgard&Cooper,Volwassen"
"Pets place,Edgard&Cooper Plantbased Adult Rode Biet&Pompoen ,https://www.petsplace.nl/edgard-cooper-plantbased-adult-hondenvoer-m-5407007149056-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/3/0/6691_30014018_1.webp,1,kg,""9,89"",""10,99"",Droogvoer,Edgard&Cooper,Volwassen"
"Pets place,Edgard&Cooper Plantbased Adult Rode Biet&Pompoen ,https://www.petsplace.nl/edgard-cooper-plantbased-adult-hondenvoer-m-5407007149056-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/3/0/9927_30014023_1.webp,2.5,kg,""24,29"",""26,99"",Droogvoer,Edgard&Cooper,Volwassen"
"Pets place,Edgard&Cooper Plantbased Adult Rode Biet&Pompoen ,https://www.petsplace.nl/edgard-cooper-plantbased-adult-hondenvoer-m-5407007149056-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/3/0/3067_30014021_1.webp,7,kg,""53,99"",""59,99"",Droogvoer,Edgard&Cooper,Volwassen"
