store,animal,category,brand,product_title,normal_price,sale_price,sale,age_group,product_page_url,image_url
Pets place,Hond,Apotheek,Frontline,Frontline Spot On 2 Medium Hond Medium - Anti vlooien en tekenmiddel - 4 pip,"23,39","23,39",0,Alle Leeftijden,https://www.petsplace.nl/frontline-spot-on-2-medium-hond-anti-vlooien-en-tekenmiddel-m-8713942401652-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/8/2/5143_820623_1.webp
Pets place,Hond,Apotheek,Frontline,Frontline Spot On 2 Medium Hond Medium - Anti vlooien en tekenmiddel - 6 pip,"37,95","37,95",0,Alle Leeftijden,https://www.petsplace.nl/frontline-spot-on-2-medium-hond-anti-vlooien-en-tekenmiddel-m-8713942401652-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/0/4/9881_040263_1.webp
Pets place,Hond,Apotheek,Bolfo,Bolfo Gold Hond 250 - Anti vlooienmiddel - 2 stuks 10 - 25 Kg,"13,39","13,39",0,Senior,https://www.petsplace.nl/bolfo-gold-hond-250-anti-vlooienmiddel-m-4007221007500-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/0/4/1512_040025_1.webp
Pets place,Hond,Apotheek,Bolfo,Bolfo Gold Hond 250 - Anti vlooienmiddel - 4 stuks 10 - 25 Kg,"26,59","26,59",0,Senior,https://www.petsplace.nl/bolfo-gold-hond-250-anti-vlooienmiddel-m-4007221007500-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/1/1/8246_110246_1.webp
Pets place,Hond,Apotheek,Bolfo,Bolfo Gold Hond 40 - Anti vlooienmiddel - 2 stuks 0 - 4 Kg,"12,29","12,29",0,Junior,https://www.petsplace.nl/bolfo-gold-hond-40-anti-vlooienmiddel-m-4007221007487-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/0/4/8049_040023_1.webp
Pets place,Hond,Apotheek,Bolfo,Bolfo Gold Hond 40 - Anti vlooienmiddel - 4 stuks 0 - 4 Kg,"19,39","19,39",0,Senior,https://www.petsplace.nl/bolfo-gold-hond-40-anti-vlooienmiddel-m-4007221007487-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/1/1/6358_110244_1.webp
Pets place,Hond,Apotheek,Beaphar,Beaphar Wormtablet All In One Hond Rund - Anti wormenmiddel - 2 tab 2.5 Tot 20 Kg,"9,69","9,69",0,Alle Leeftijden,https://www.petsplace.nl/beaphar-wormtablet-all-in-one-hond-anti-wormenmiddel-m-8711231107292-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/3/5/4495_354031_1.webp
Pets place,Hond,Apotheek,Beaphar,Beaphar Wormtablet All In One Hond Rund - Anti wormenmiddel - 4 tab 2.5 Tot 40 Kg,"14,89","14,89",0,Alle Leeftijden,https://www.petsplace.nl/beaphar-wormtablet-all-in-one-hond-anti-wormenmiddel-m-8711231107292-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/3/5/2960_354032_1.webp
Pets place,Hond,Apotheek,Brilliant,Brilliant Salmon Oil Original - Voedingssupplement - Huid - Vacht - 300 ml,"11,99","11,99",0,Alle Leeftijden,https://www.petsplace.nl/brilliant-salmon-oil-original-voedingssupplement-huid-vacht-m-7072160101524-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/3/0/1459_30020856_1.webp
Pets place,Hond,Apotheek,Brilliant,Brilliant Salmon Oil Original - Voedingssupplement - Huid - Vacht - 1000 ml,"19,99","19,99",0,Alle Leeftijden,https://www.petsplace.nl/brilliant-salmon-oil-original-voedingssupplement-huid-vacht-m-7072160101524-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/3/0/6742_30020857_1.webp
