store,animal,category,brand,product_title,normal_price,sale_price,sale,age_group,product_page_url,image_url
Pets place,Kat,Droogvoer,Felix,Felix Countryside Sensations Rund&Kip&Groente - Kattenvoer - 1 kg,"4,49","4,49",0,Volwassen,https://www.petsplace.nl/felix-countryside-sensations-kattenvoer-m-7613036466097-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/3/4/9299_343108_1.webp
Pets place,Kat,Droogvoer,Felix,Felix Countryside Sensations Rund&Kip&Groente - Kattenvoer - 4 kg,"16,99","12,99",24,Volwassen,https://www.petsplace.nl/felix-countryside-sensations-kattenvoer-m-7613036466097-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/3/4/1458_343113_1.webp
Pets place,Kat,Droogvoer,Felix,Felix Countryside Sensations Rund&Kip&Groente - Kattenvoer - 7.5 kg,"28,49","28,49",0,Volwassen,https://www.petsplace.nl/felix-countryside-sensations-kattenvoer-m-7613036466097-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/3/0/6036_30014779_1.webp
Pets place,Kat,Droogvoer,Iams,Iams Cat Adult - Kattenvoer - Lam 3 kg,"19,29","19,29",0,Volwassen,https://www.petsplace.nl/iams-cat-adult-kattenvoer-8710255127002-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/3/0/4477_300511_1.webp
Pets place,Kat,Droogvoer,Prins,Prins Kattebrokjes - Kattenvoer - Mix 10 kg,"56,25","56,25",0,Alle Leeftijden,https://www.petsplace.nl/prins-kattebrokjes-kattenvoer-8713595140014-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/5/4/2334_540040_1.webp
Pets place,Kat,Droogvoer,BF,Bf Ncf Control Urinary&Sterilised - Kattenvoer - Kip Zalm Kippenlever 10 kg,"51,45","51,45",0,Volwassen,https://www.petsplace.nl/biofood-ncf-control-urinary-sterilised-kattenvoer-8714831002899-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/1/0/9549_10045403_1.webp
Pets place,Kat,Droogvoer,CaroCroc,Carocroc With Chicken - Kattenvoer - 400 g,"4,35","4,35",0,Volwassen,https://www.petsplace.nl/carocroc-with-chicken-kattenvoer-m-8714469003053-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/3/4/8099_341202_1.webp
Pets place,Kat,Droogvoer,CaroCroc,Carocroc With Chicken - Kattenvoer - 2 kg,"16,40","16,40",0,Volwassen,https://www.petsplace.nl/carocroc-with-chicken-kattenvoer-m-8714469003053-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/3/4/6124_341200_1.webp
Pets place,Kat,Droogvoer,CaroCroc,Carocroc With Chicken - Kattenvoer - 7 kg,"41,75","41,75",0,Volwassen,https://www.petsplace.nl/carocroc-with-chicken-kattenvoer-m-8714469003053-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/3/4/3964_341201_1.webp
Pets place,Kat,Droogvoer,CaroCroc,Carocroc With Chicken - Kattenvoer - 15 kg,"72,20","72,20",0,Volwassen,https://www.petsplace.nl/carocroc-with-chicken-kattenvoer-m-8714469003053-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/3/4/3694_341199_1.webp
Pets place,Kat,Droogvoer,Iams,Iams Cat Adult Indoor - Kattenvoer - Kip 3 kg,"19,29","19,29",0,Volwassen,https://www.petsplace.nl/iams-cat-adult-indoor-kattenvoer-8710255150444-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/1/0/3895_10044129_1.webp
Pets place,Kat,Droogvoer,Royal Canin,Royal Canin Persian Adult - Kattenvoer - 400 g,"7,99","7,99",0,Volwassen,https://www.petsplace.nl/royal-canin-persian-adult-kattenvoer-m-3182550702607-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/5/1/7137_510660_1.webp
Pets place,Kat,Droogvoer,Royal Canin,Royal Canin Persian Adult - Kattenvoer - 2 kg,"32,45","32,45",0,Volwassen,https://www.petsplace.nl/royal-canin-persian-adult-kattenvoer-m-3182550702607-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/5/1/7084_510661_1.webp
Pets place,Kat,Droogvoer,Royal Canin,Royal Canin Persian Adult - Kattenvoer - 4 kg,"52,95","52,95",0,Volwassen,https://www.petsplace.nl/royal-canin-persian-adult-kattenvoer-m-3182550702607-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/5/1/8581_510662_1.webp
Pets place,Kat,Droogvoer,Royal Canin,Royal Canin Persian Adult - Kattenvoer - 10 kg,"94,95","94,95",0,Volwassen,https://www.petsplace.nl/royal-canin-persian-adult-kattenvoer-m-3182550702607-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/1/2/7629_120692_1.webp
Pets place,Kat,Droogvoer,CaroCroc,Carocroc Kitten - Kattenvoer - 400 g,"4,25","4,25",0,Kitten,https://www.petsplace.nl/carocroc-kitten-kattenvoer-m-8714469003008-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/3/4/2073_341205_1.webp
Pets place,Kat,Droogvoer,CaroCroc,Carocroc Kitten - Kattenvoer - 2 kg,"16,55","16,55",0,Kitten,https://www.petsplace.nl/carocroc-kitten-kattenvoer-m-8714469003008-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/3/4/2144_341203_1.webp
Pets place,Kat,Droogvoer,CaroCroc,Carocroc Kitten - Kattenvoer - 7 kg,"42,40","42,40",0,Kitten,https://www.petsplace.nl/carocroc-kitten-kattenvoer-m-8714469003008-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/3/4/6301_341204_1.webp
Pets place,Kat,Droogvoer,Hill's Prescription Diet,Hill's Prescription Diet C/D Multicare Stress Urinary Care Zak Zeevis - Kattenvoer - 1.5 kg,"21,59","21,59",0,Alle Leeftijden,https://www.petsplace.nl/hills-prescription-diet-c-d-multicare-stress-urinary-care-zak-kattenvoer-m-052742050386-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/3/0/7307_30019292_1.webp
Pets place,Kat,Droogvoer,Hill's Prescription Diet,Hill's Prescription Diet C/D Multicare Stress Urinary Care Zak Zeevis - Kattenvoer - 3 kg,"36,15","36,15",0,Alle Leeftijden,https://www.petsplace.nl/hills-prescription-diet-c-d-multicare-stress-urinary-care-zak-kattenvoer-m-052742050386-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/3/0/2531_30019281_1.webp
Pets place,Kat,Droogvoer,Hill's Prescription Diet,Hill's Prescription Diet C/D Multicare Stress Urinary Care Zak Zeevis - Kattenvoer - 8 kg,"77,49","77,49",0,Alle Leeftijden,https://www.petsplace.nl/hills-prescription-diet-c-d-multicare-stress-urinary-care-zak-kattenvoer-m-052742050386-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/3/0/3409_30019298_1.webp
Pets place,Kat,Droogvoer,Pets Place Plus,Pets Place Plus Kittens - Kattenvoer - Kalkoen Rijst 1.5 kg,"13,89","13,89",0,Kitten,https://www.petsplace.nl/pets-place-plus-kittens-kattenvoer-8711621925208-pps,https://cdn.petsplace.nl/media/mf_webp/jpg/media/catalog/product/cache/51683dc2574b5d5c6b813bcbcc9e3c67/1/4/4191_140448_1.webp
